22,7728,1.449
30,7738.666667,1.451
40,7768,1.4565
50,7797.333333,1.462
60,7808,1.464
70,7802.666667,1.463
80,7850.666667,1.472
90,7866.666667,1.475
200,8016,1.503
300,8069.333333,1.513
400,8106.666667,1.52
700,8181.333333,1.534
1000,8224,1.542
3000,8256,1.548
5000,8261.333333,1.549
10000,8266.666667,1.55
