0.0266644624,21955.38507,7115,0,0,0.0005,3
0.03333057801,21988.30169,7125,0,0,0.0005,3
0.03999669361,22021.21831,7136,0,0,0.0005,3
0.05332892481,22152.88478,7179,0,0,0.0005,3
0.06666115601,22218.71802,7200,0,0,0.0005,3
0.07999338721,22284.55126,7221,0,0,0.0005,3
0.09332561842,22317.46788,7232,0,0,0.0005,3
0.1066578496,22399.75943,7259,0,0,0.0005,3
0.1199900808,22432.67605,7269,0,0,0.0005,3
0.9932512246,23453.09124,7600,0,0,0.0005,3
1.33322312,23535.38279,7627,0,0,0.0005,3
2.66644624,23699.96589,7680,0,0,0.0005,3
13.3322312,23831.63237,7723,0,0,0.0005,3
133.322312,23881.0073,7739,0,0,0.0005,3
1013.249571,23979.75715,7771,0,0,0.0005,3
