2.4,3949,13984,4,3907,0,4,0,0,399372.929
2.4,3949,13984,3,3907,0,7,0,0,399372.398
2.4,3949,13984,4,3907,0,6,0,0,399371.861
2.4,3949,13985,4,3907,0,5,0,0,399371.326
2.4,3948,13984,3,3907,0,10,0,0,399370.791
2.4,3947,13990,3,3906,0,13,0,0,399369.724
2.4,3947,13994,3,3907,0,5,0,0,399369.194
2.4,3947,13992,3,3907,0,7,0,0,399368.662
2.5,3946,13995,3,3907,0,9,0,0,399368.129
2.5,3946,13994,3,3907,0,7,0,0,399367.577
2.5,3946,14000,3,3906,0,8,0,0,399367.062
2.5,3946,14001,3,3905,0,5,0,0,399366.528
2.5,3947,13999,3,3906,0,3,0,0,399365.977
2.5,3948,14001,3,3906,0,6,0,0,399365.445
2.5,3949,14003,3,3906,0,10,0,0,399364.914
2.5,3949,14005,3,3906,0,10,0,0,399364.383
2.5,3949,14010,2,3906,0,10,0,0,399363.857
2.5,3949,14010,2,3906,0,8,0,0,399363.324
2.5,3949,14013,3,3906,0,7,0,0,399362.789
2.5,3949,14015,3,3906,0,9,0,0,399362.257
2.6,3949,14020,3,3906,0,7,0,0,399361.721
2.6,3949,14023,2,3906,0,7,0,0,399361.191
2.6,3949,14027,3,3906,0,9,0,0,399360.656
2.7,3949,14030,3,3907,0,6,0,0,399360.124
2.7,3949,14032,3,3906,0,6,0,0,399359.59
2.7,3950,14037,3,3906,0,3,0,0,399359.041
2.7,3950,14042,3,3907,0,5,0,0,399358.508
2.7,3950,14046,3,3907,0,7,0,0,399357.974
2.7,3950,14049,3,3906,0,9,0,0,399357.444
2.8,3950,14055,3,3907,0,8,0,0,399356.911
2.8,3950,14058,3,3906,0,3,0,0,399356.382
2.8,3950,14061,3,3906,0,4,0,0,399355.853
2.8,3950,14067,4,3907,0,2,0,0,399355.314
2.8,3950,14070,4,3906,0,4,0,0,399354.784
2.8,3950,14077,4,3907,0,2,0,0,399354.25
3,3950,14082,4,3906,0,6,0,0,399353.72
3,3949,14087,4,3906,0,5,0,0,399353.185
3,3950,14089,4,3905,0,2,0,0,399352.653
3,3949,14099,5,3905,0,6,0,0,399352.104
3,3949,14100,4,3905,0,3,0,0,399351.575
